"","Request.id","Pickup.point","Driver.id","Status","Request.timestamp","Drop.timestamp","Req.day","Drop.day","Date","Req.hour","Drop.hour","Trip.duration","Req.hour24","Time.slot"
"15",3379,"City",2,"Trip Completed",2016-07-13 14:23:02,2016-07-13 15:35:18,"Wednesday","Wednesday",13,14,15,72,"14:00","Day Time"
"16",3482,"Airport",2,"Trip Completed",2016-07-13 17:23:18,2016-07-13 18:20:51,"Wednesday","Wednesday",13,17,18,58,"17:00","Evening"
"17",4652,"City",2,"Trip Completed",2016-07-14 12:01:02,2016-07-14 12:36:46,"Thursday","Thursday",14,12,12,36,"12:00","Day Time"
"18",5335,"Airport",2,"Trip Completed",2016-07-14 22:24:13,2016-07-14 23:18:52,"Thursday","Thursday",14,22,23,55,"22:00","Night"
"19",535,"Airport",3,"Trip Completed",2016-07-11 10:00:00,2016-07-11 10:31:00,"Monday","Monday",11,10,10,31,"10:00","Day Time"
"20",960,"Airport",3,"Trip Completed",2016-07-11 18:45:00,2016-07-11 19:23:00,"Monday","Monday",11,18,19,38,"18:00","Evening"
"21",1934,"Airport",3,"Trip Completed",2016-07-12 11:17:00,2016-07-12 12:23:00,"Tuesday","Tuesday",12,11,12,66,"11:00","Day Time"
"22",2083,"Airport",3,"Trip Completed",2016-07-12 15:46:00,2016-07-12 16:40:00,"Tuesday","Tuesday",12,15,16,54,"15:00","Day Time"
"23",2211,"Airport",3,"Trip Completed",2016-07-12 18:00:00,2016-07-12 18:28:00,"Tuesday","Tuesday",12,18,18,28,"18:00","Evening"
"24",3096,"Airport",3,"Trip Completed",2016-07-13 08:17:29,2016-07-13 09:22:37,"Wednesday","Wednesday",13,8,9,65,"8:00","Morning"
"25",3881,"Airport",3,"Trip Completed",2016-07-13 21:54:18,2016-07-13 22:51:23,"Wednesday","Wednesday",13,21,22,57,"21:00","Evening"
"26",5254,"City",3,"Trip Completed",2016-07-14 21:23:03,2016-07-14 22:25:19,"Thursday","Thursday",14,21,22,62,"21:00","Evening"
"27",5434,"City",3,"Trip Completed",2016-07-15 02:41:38,2016-07-15 03:24:43,"Friday","Friday",15,2,3,43,"2:00","Early Morning"
"28",5916,"City",3,"Trip Completed",2016-07-15 10:00:43,2016-07-15 10:53:06,"Friday","Friday",15,10,10,52,"10:00","Day Time"
"29",669,"City",4,"Trip Completed",2016-07-11 13:08:00,2016-07-11 13:49:00,"Monday","Monday",11,13,13,41,"13:00","Day Time"
"30",1567,"Airport",4,"Trip Completed",2016-07-12 06:21:00,2016-07-12 07:10:00,"Tuesday","Tuesday",12,6,7,49,"6:00","Morning"
"31",1826,"City",4,"Trip Completed",2016-07-12 09:27:00,2016-07-12 10:27:00,"Tuesday","Tuesday",12,9,10,60,"9:00","Morning"
"32",2102,"City",4,"Trip Completed",2016-07-12 16:09:00,2016-07-12 17:01:00,"Tuesday","Tuesday",12,16,17,52,"16:00","Day Time"
"33",2847,"Airport",4,"Trip Completed",2016-07-13 05:34:20,2016-07-13 06:09:59,"Wednesday","Wednesday",13,5,6,36,"5:00","Morning"
"34",3722,"Airport",4,"Trip Completed",2016-07-13 19:57:59,2016-07-13 20:32:04,"Wednesday","Wednesday",13,19,20,34,"19:00","Evening"
"35",4075,"City",4,"Trip Completed",2016-07-14 02:17:35,2016-07-14 03:21:38,"Thursday","Thursday",14,2,3,64,"2:00","Early Morning"
"36",4686,"City",4,"Trip Completed",2016-07-14 13:01:10,2016-07-14 13:45:28,"Thursday","Thursday",14,13,13,44,"13:00","Day Time"
"37",5771,"Airport",4,"Trip Completed",2016-07-15 08:30:06,2016-07-15 09:37:20,"Friday","Friday",15,8,9,67,"8:00","Morning"
"38",6106,"Airport",4,"Trip Completed",2016-07-15 15:01:20,2016-07-15 15:47:31,"Friday","Friday",15,15,15,46,"15:00","Day Time"
"39",312,"City",5,"Trip Completed",2016-07-11 07:27:00,2016-07-11 08:31:00,"Monday","Monday",11,7,8,64,"7:00","Morning"
"40",577,"Airport",5,"Trip Completed",2016-07-11 11:03:00,2016-07-11 12:01:00,"Monday","Monday",11,11,12,58,"11:00","Day Time"
"41",1179,"City",5,"Trip Completed",2016-07-11 20:58:00,2016-07-11 21:45:00,"Monday","Monday",11,20,21,47,"20:00","Evening"
"42",1756,"Airport",5,"Trip Completed",2016-07-12 08:40:00,2016-07-12 09:23:00,"Tuesday","Tuesday",12,8,9,43,"8:00","Morning"
"43",2052,"City",5,"Trip Completed",2016-07-12 14:48:00,2016-07-12 15:50:00,"Tuesday","Tuesday",12,14,15,62,"14:00","Day Time"
"44",2559,"City",5,"Trip Completed",2016-07-12 21:32:00,2016-07-12 22:29:00,"Tuesday","Tuesday",12,21,22,57,"21:00","Evening"
"45",3014,"City",5,"Trip Completed",2016-07-13 07:28:14,2016-07-13 08:29:47,"Wednesday","Wednesday",13,7,8,62,"7:00","Morning"
"46",3317,"City",5,"Trip Completed",2016-07-13 12:14:27,2016-07-13 12:46:38,"Wednesday","Wednesday",13,12,12,32,"12:00","Day Time"
"47",4297,"City",5,"Trip Completed",2016-07-14 06:43:01,2016-07-14 07:49:38,"Thursday","Thursday",14,6,7,67,"6:00","Morning"
"48",5857,"Airport",5,"Trip Completed",2016-07-15 09:08:50,2016-07-15 10:07:07,"Friday","Friday",15,9,10,58,"9:00","Morning"
"49",6690,"Airport",5,"Trip Completed",2016-07-15 22:41:41,2016-07-15 23:51:00,"Friday","Friday",15,22,23,69,"22:00","Night"
"50",1517,"Airport",6,"Trip Completed",2016-07-12 05:45:00,2016-07-12 06:28:00,"Tuesday","Tuesday",12,5,6,43,"5:00","Morning"
"51",1999,"Airport",6,"Trip Completed",2016-07-12 13:02:00,2016-07-12 13:51:00,"Tuesday","Tuesday",12,13,13,49,"13:00","Day Time"
"52",2960,"Airport",6,"Trip Completed",2016-07-13 06:50:33,2016-07-13 07:40:35,"Wednesday","Wednesday",13,6,7,50,"6:00","Morning"
"53",3882,"City",6,"Trip Completed",2016-07-13 21:53:03,2016-07-13 22:45:24,"Wednesday","Wednesday",13,21,22,52,"21:00","Evening"
"54",4081,"Airport",6,"Trip Completed",2016-07-14 02:37:14,2016-07-14 03:30:27,"Thursday","Thursday",14,2,3,53,"2:00","Early Morning"
"55",4740,"City",6,"Trip Completed",2016-07-14 14:50:07,2016-07-14 15:38:14,"Thursday","Thursday",14,14,15,48,"14:00","Day Time"
"56",5270,"City",6,"Trip Completed",2016-07-14 21:33:55,2016-07-14 22:25:43,"Thursday","Thursday",14,21,22,52,"21:00","Evening"
"57",6758,"Airport",6,"Trip Completed",2016-07-15 00:03:39,2016-07-15 01:07:39,"Friday","Friday",15,0,1,64,"0:00","Early Morning"
"58",5741,"City",6,"Trip Completed",2016-07-15 07:52:51,2016-07-15 08:38:55,"Friday","Friday",15,7,8,46,"7:00","Morning"
"59",6087,"Airport",6,"Trip Completed",2016-07-15 14:28:50,2016-07-15 15:33:53,"Friday","Friday",15,14,15,65,"14:00","Day Time"
"60",1039,"City",7,"Trip Completed",2016-07-11 19:31:00,2016-07-11 20:41:00,"Monday","Monday",11,19,20,70,"19:00","Evening"
"61",1273,"Airport",7,"Trip Completed",2016-07-11 22:07:00,2016-07-11 23:12:00,"Monday","Monday",11,22,23,65,"22:00","Night"
"62",2480,"City",7,"Trip Completed",2016-07-12 20:39:00,2016-07-12 21:28:00,"Tuesday","Tuesday",12,20,21,49,"20:00","Evening"
"63",4105,"City",7,"Trip Completed",2016-07-14 03:39:38,2016-07-14 04:39:04,"Thursday","Thursday",14,3,4,59,"3:00","Early Morning"
"64",4509,"City",7,"Trip Completed",2016-07-14 09:11:13,2016-07-14 10:17:01,"Thursday","Thursday",14,9,10,66,"9:00","Morning"
"65",4986,"Airport",7,"Trip Completed",2016-07-14 18:52:32,2016-07-14 19:50:57,"Thursday","Thursday",14,18,19,58,"18:00","Evening"
"66",5898,"City",7,"Trip Completed",2016-07-15 09:50:28,2016-07-15 10:40:39,"Friday","Friday",15,9,10,50,"9:00","Morning"
"67",6142,"Airport",7,"Trip Completed",2016-07-15 15:50:15,2016-07-15 16:36:56,"Friday","Friday",15,15,16,47,"15:00","Day Time"
"68",380,"Airport",8,"Trip Completed",2016-07-11 08:18:00,2016-07-11 09:18:00,"Monday","Monday",11,8,9,60,"8:00","Morning"
"69",1050,"Airport",8,"Trip Completed",2016-07-11 19:39:00,2016-07-11 20:30:00,"Monday","Monday",11,19,20,51,"19:00","Evening"
"70",1769,"City",8,"Trip Completed",2016-07-12 08:57:00,2016-07-12 09:24:00,"Tuesday","Tuesday",12,8,9,27,"8:00","Morning"
"71",2520,"City",8,"Trip Completed",2016-07-12 21:05:00,2016-07-12 22:20:00,"Tuesday","Tuesday",12,21,22,75,"21:00","Evening"
"72",3265,"Airport",8,"Trip Completed",2016-07-13 10:22:07,2016-07-13 11:07:02,"Wednesday","Wednesday",13,10,11,45,"10:00","Day Time"
"73",4648,"City",8,"Trip Completed",2016-07-14 11:55:10,2016-07-14 12:59:34,"Thursday","Thursday",14,11,12,64,"11:00","Day Time"
"74",449,"Airport",9,"Trip Completed",2016-07-11 09:08:00,2016-07-11 09:52:00,"Monday","Monday",11,9,9,44,"9:00","Morning"
"75",846,"Airport",9,"Trip Completed",2016-07-11 17:46:00,2016-07-11 18:52:00,"Monday","Monday",11,17,18,66,"17:00","Evening"
"76",1346,"Airport",9,"Trip Completed",2016-07-11 23:39:00,2016-07-12 00:23:00,"Monday","Tuesday",11,23,0,44,"23:00","Night"
"77",1474,"Airport",9,"Trip Completed",2016-07-12 05:13:00,2016-07-12 05:56:00,"Tuesday","Tuesday",12,5,5,43,"5:00","Morning"
"78",2240,"City",9,"Trip Completed",2016-07-12 18:20:00,2016-07-12 18:54:00,"Tuesday","Tuesday",12,18,18,34,"18:00","Evening"
"79",3072,"Airport",9,"Trip Completed",2016-07-13 08:04:57,2016-07-13 08:36:37,"Wednesday","Wednesday",13,8,8,32,"8:00","Morning"
"80",3459,"Airport",9,"Trip Completed",2016-07-13 17:03:30,2016-07-13 17:31:49,"Wednesday","Wednesday",13,17,17,28,"17:00","Evening"
"81",3774,"Airport",9,"Trip Completed",2016-07-13 20:41:24,2016-07-13 21:27:29,"Wednesday","Wednesday",13,20,21,46,"20:00","Evening"
"82",4023,"City",9,"Trip Completed",2016-07-13 23:58:41,2016-07-14 00:58:39,"Wednesday","Thursday",13,23,0,60,"23:00","Night"
"83",4117,"City",9,"Trip Completed",2016-07-14 04:21:42,2016-07-14 05:07:07,"Thursday","Thursday",14,4,5,45,"4:00","Early Morning"
"84",4880,"Airport",9,"Trip Completed",2016-07-14 17:58:46,2016-07-14 19:02:42,"Thursday","Thursday",14,17,19,64,"17:00","Evening"
"85",5568,"Airport",9,"Trip Completed",2016-07-15 05:47:49,2016-07-15 06:25:49,"Friday","Friday",15,5,6,38,"5:00","Morning"
"86",5994,"Airport",9,"Trip Completed",2016-07-15 11:51:16,2016-07-15 12:32:12,"Friday","Friday",15,11,12,41,"11:00","Day Time"
"87",1809,"Airport",10,"Trip Completed",2016-07-12 09:13:00,2016-07-12 10:01:00,"Tuesday","Tuesday",12,9,10,48,"9:00","Morning"
"88",2064,"Airport",10,"Trip Completed",2016-07-12 15:08:00,2016-07-12 16:14:00,"Tuesday","Tuesday",12,15,16,66,"15:00","Day Time"
"89",3210,"City",10,"Trip Completed",2016-07-13 09:47:06,2016-07-13 10:52:37,"Wednesday","Wednesday",13,9,10,66,"9:00","Morning"
"90",4350,"City",10,"Trip Completed",2016-07-14 07:24:43,2016-07-14 08:22:09,"Thursday","Thursday",14,7,8,57,"7:00","Morning"
"91",4713,"City",10,"Trip Completed",2016-07-14 13:31:24,2016-07-14 14:10:56,"Thursday","Thursday",14,13,14,40,"13:00","Day Time"
"92",5629,"Airport",10,"Trip Completed",2016-07-15 06:33:00,2016-07-15 07:19:53,"Friday","Friday",15,6,7,47,"6:00","Morning"
"93",6157,"Airport",10,"Trip Completed",2016-07-15 16:32:51,2016-07-15 17:44:44,"Friday","Friday",15,16,17,72,"16:00","Day Time"
"94",2030,"City",11,"Trip Completed",2016-07-12 14:11:00,2016-07-12 15:02:00,"Tuesday","Tuesday",12,14,15,51,"14:00","Day Time"
"95",3226,"City",11,"Trip Completed",2016-07-13 10:00:17,2016-07-13 11:02:52,"Wednesday","Wednesday",13,10,11,63,"10:00","Day Time"
"96",3353,"City",11,"Trip Completed",2016-07-13 13:29:44,2016-07-13 14:09:00,"Wednesday","Wednesday",13,13,14,39,"13:00","Day Time"
"97",4293,"City",11,"Trip Completed",2016-07-14 06:42:36,2016-07-14 07:12:41,"Thursday","Thursday",14,6,7,30,"6:00","Morning"
"98",4936,"City",11,"Trip Completed",2016-07-14 18:22:17,2016-07-14 19:14:36,"Thursday","Thursday",14,18,19,52,"18:00","Evening"
"99",5661,"Airport",11,"Trip Completed",2016-07-15 07:08:50,2016-07-15 07:59:00,"Friday","Friday",15,7,7,50,"7:00","Morning"
"100",5778,"City",11,"Trip Completed",2016-07-15 08:22:03,2016-07-15 09:13:04,"Friday","Friday",15,8,9,51,"8:00","Morning"
"101",6425,"Airport",11,"Trip Completed",2016-07-15 19:46:40,2016-07-15 20:26:51,"Friday","Friday",15,19,20,40,"19:00","Evening"
"102",45,"Airport",12,"Trip Completed",2016-07-11 03:17:00,2016-07-11 04:09:00,"Monday","Monday",11,3,4,52,"3:00","Early Morning"
"103",264,"City",12,"Trip Completed",2016-07-11 06:51:00,2016-07-11 07:40:00,"Monday","Monday",11,6,7,49,"6:00","Morning"
"104",1183,"City",12,"Trip Completed",2016-07-11 21:05:00,2016-07-11 21:38:00,"Monday","Monday",11,21,21,33,"21:00","Evening"
"105",1536,"Airport",12,"Trip Completed",2016-07-12 05:59:00,2016-07-12 06:59:00,"Tuesday","Tuesday",12,5,6,60,"5:00","Morning"
"106",2437,"City",12,"Trip Completed",2016-07-12 20:18:00,2016-07-12 21:26:00,"Tuesday","Tuesday",12,20,21,68,"20:00","Evening"
"107",2641,"Airport",12,"Trip Completed",2016-07-12 22:28:00,2016-07-12 23:05:00,"Tuesday","Tuesday",12,22,23,37,"22:00","Night"
"108",4077,"Airport",12,"Trip Completed",2016-07-14 02:14:15,2016-07-14 03:13:09,"Thursday","Thursday",14,2,3,59,"2:00","Early Morning"
"109",4610,"City",12,"Trip Completed",2016-07-14 10:35:14,2016-07-14 11:39:01,"Thursday","Thursday",14,10,11,64,"10:00","Day Time"
"110",5066,"Airport",12,"Trip Completed",2016-07-14 19:31:20,2016-07-14 20:14:03,"Thursday","Thursday",14,19,20,43,"19:00","Evening"
"111",5666,"Airport",12,"Trip Completed",2016-07-15 07:04:55,2016-07-15 08:12:37,"Friday","Friday",15,7,8,68,"7:00","Morning"
"112",5923,"City",12,"Trip Completed",2016-07-15 10:07:49,2016-07-15 10:50:50,"Friday","Friday",15,10,10,43,"10:00","Day Time"
"113",6367,"City",12,"Trip Completed",2016-07-15 19:04:46,2016-07-15 19:46:04,"Friday","Friday",15,19,19,41,"19:00","Evening"
"114",155,"City",13,"Trip Completed",2016-07-11 05:32:00,2016-07-11 06:28:00,"Monday","Monday",11,5,6,56,"5:00","Morning"
"115",310,"Airport",13,"Trip Completed",2016-07-11 07:24:00,2016-07-11 08:28:00,"Monday","Monday",11,7,8,64,"7:00","Morning"
"116",607,"City",13,"Trip Completed",2016-07-11 11:51:00,2016-07-11 12:42:00,"Monday","Monday",11,11,12,51,"11:00","Day Time"
"117",1012,"City",13,"Trip Completed",2016-07-11 19:15:00,2016-07-11 19:57:00,"Monday","Monday",11,19,19,42,"19:00","Evening"
"118",1696,"Airport",13,"Trip Completed",2016-07-12 08:01:00,2016-07-12 08:42:00,"Tuesday","Tuesday",12,8,8,41,"8:00","Morning"
"119",3076,"City",13,"Trip Completed",2016-07-13 08:09:04,2016-07-13 09:12:19,"Wednesday","Wednesday",13,8,9,63,"8:00","Morning"
"120",4198,"Airport",13,"Trip Completed",2016-07-14 05:32:14,2016-07-14 06:45:32,"Thursday","Thursday",14,5,6,73,"5:00","Morning"
"121",4627,"City",13,"Trip Completed",2016-07-14 11:13:19,2016-07-14 12:00:12,"Thursday","Thursday",14,11,12,47,"11:00","Day Time"
"122",5289,"City",13,"Trip Completed",2016-07-14 21:43:24,2016-07-14 22:24:13,"Thursday","Thursday",14,21,22,41,"21:00","Evening"
"123",5495,"Airport",13,"Trip Completed",2016-07-15 05:00:13,2016-07-15 06:02:27,"Friday","Friday",15,5,6,62,"5:00","Morning"
"124",6656,"Airport",13,"Trip Completed",2016-07-15 22:08:42,2016-07-15 22:41:18,"Friday","Friday",15,22,22,33,"22:00","Night"
"125",139,"Airport",14,"Trip Completed",2016-07-11 05:21:00,2016-07-11 06:09:00,"Monday","Monday",11,5,6,48,"5:00","Morning"
"126",215,"City",14,"Trip Completed",2016-07-11 06:15:00,2016-07-11 07:07:00,"Monday","Monday",11,6,7,52,"6:00","Morning"
"127",1816,"City",14,"Trip Completed",2016-07-12 09:24:00,2016-07-12 10:07:00,"Tuesday","Tuesday",12,9,10,43,"9:00","Morning"
"128",2505,"Airport",14,"Trip Completed",2016-07-12 21:03:00,2016-07-12 22:14:00,"Tuesday","Tuesday",12,21,22,71,"21:00","Evening"
"129",3346,"City",14,"Trip Completed",2016-07-13 13:01:42,2016-07-13 13:55:59,"Wednesday","Wednesday",13,13,13,54,"13:00","Day Time"
"130",5294,"City",14,"Trip Completed",2016-07-14 21:45:50,2016-07-14 22:16:40,"Thursday","Thursday",14,21,22,31,"21:00","Evening"
"131",6226,"Airport",14,"Trip Completed",2016-07-15 17:34:25,2016-07-15 18:33:13,"Friday","Friday",15,17,18,59,"17:00","Evening"
"132",6733,"Airport",14,"Trip Completed",2016-07-15 23:32:44,2016-07-16 00:37:46,"Friday","Saturday",15,23,0,65,"23:00","Night"
"133",1027,"Airport",15,"Trip Completed",2016-07-11 19:18:00,2016-07-11 20:24:00,"Monday","Monday",11,19,20,66,"19:00","Evening"
"134",2675,"Airport",15,"Trip Completed",2016-07-12 23:43:00,2016-07-13 00:35:12,"Tuesday","Wednesday",12,23,0,52,"23:00","Night"
"135",3200,"City",15,"Trip Completed",2016-07-13 09:39:44,2016-07-13 10:30:58,"Wednesday","Wednesday",13,9,10,51,"9:00","Morning"
"136",3865,"City",15,"Trip Completed",2016-07-13 21:52:05,2016-07-13 22:21:15,"Wednesday","Wednesday",13,21,22,29,"21:00","Evening"
"137",4468,"City",15,"Trip Completed",2016-07-14 08:42:46,2016-07-14 09:22:01,"Thursday","Thursday",14,8,9,39,"8:00","Morning"
"138",5163,"Airport",15,"Trip Completed",2016-07-14 20:34:30,2016-07-14 21:05:18,"Thursday","Thursday",14,20,21,31,"20:00","Evening"
"139",6009,"City",15,"Trip Completed",2016-07-15 12:22:35,2016-07-15 13:25:27,"Friday","Friday",15,12,13,63,"12:00","Day Time"
"140",6448,"Airport",15,"Trip Completed",2016-07-15 20:02:54,2016-07-15 20:40:45,"Friday","Friday",15,20,20,38,"20:00","Evening"
"141",591,"City",16,"Trip Completed",2016-07-11 11:25:00,2016-07-11 12:31:00,"Monday","Monday",11,11,12,66,"11:00","Day Time"
"142",709,"City",16,"Trip Completed",2016-07-11 14:16:00,2016-07-11 15:03:00,"Monday","Monday",11,14,15,47,"14:00","Day Time"
"143",1167,"Airport",16,"Trip Completed",2016-07-11 20:50:00,2016-07-11 21:52:00,"Monday","Monday",11,20,21,62,"20:00","Evening"
"144",2661,"Airport",16,"Trip Completed",2016-07-12 23:23:00,2016-07-13 00:27:21,"Tuesday","Wednesday",12,23,0,64,"23:00","Night"
"145",2808,"City",16,"Trip Completed",2016-07-13 05:05:16,2016-07-13 05:56:11,"Wednesday","Wednesday",13,5,5,51,"5:00","Morning"
"146",3258,"Airport",16,"Trip Completed",2016-07-13 10:12:51,2016-07-13 10:45:28,"Wednesday","Wednesday",13,10,10,33,"10:00","Day Time"
"147",3413,"Airport",16,"Trip Completed",2016-07-13 15:32:01,2016-07-13 16:45:44,"Wednesday","Wednesday",13,15,16,74,"15:00","Day Time"
"148",3939,"Airport",16,"Trip Completed",2016-07-13 22:26:26,2016-07-13 22:55:54,"Wednesday","Wednesday",13,22,22,29,"22:00","Night"
"149",4125,"City",16,"Trip Completed",2016-07-14 04:37:11,2016-07-14 05:46:29,"Thursday","Thursday",14,4,5,69,"4:00","Early Morning"
"150",4457,"City",16,"Trip Completed",2016-07-14 08:36:24,2016-07-14 09:19:20,"Thursday","Thursday",14,8,9,43,"8:00","Morning"
"151",4728,"City",16,"Trip Completed",2016-07-14 14:04:13,2016-07-14 15:06:40,"Thursday","Thursday",14,14,15,62,"14:00","Day Time"
"152",5347,"Airport",16,"Trip Completed",2016-07-14 22:51:47,2016-07-14 23:53:42,"Thursday","Thursday",14,22,23,62,"22:00","Night"
"153",6147,"City",16,"Trip Completed",2016-07-15 16:11:02,2016-07-15 17:30:08,"Friday","Friday",15,16,17,79,"16:00","Day Time"
"154",6496,"Airport",16,"Trip Completed",2016-07-15 20:33:00,2016-07-15 21:32:49,"Friday","Friday",15,20,21,60,"20:00","Evening"
"155",634,"City",17,"Trip Completed",2016-07-11 12:25:00,2016-07-11 13:06:00,"Monday","Monday",11,12,13,41,"12:00","Day Time"
"156",939,"Airport",17,"Trip Completed",2016-07-11 18:25:00,2016-07-11 19:26:00,"Monday","Monday",11,18,19,61,"18:00","Evening"
"157",2628,"Airport",17,"Trip Completed",2016-07-12 22:10:00,2016-07-12 23:25:00,"Tuesday","Tuesday",12,22,23,75,"22:00","Night"
"158",3021,"City",17,"Trip Completed",2016-07-13 07:33:20,2016-07-13 08:26:07,"Wednesday","Wednesday",13,7,8,53,"7:00","Morning"
"159",4743,"City",17,"Trip Completed",2016-07-14 14:54:16,2016-07-14 15:39:03,"Thursday","Thursday",14,14,15,45,"14:00","Day Time"
"160",4981,"City",17,"Trip Completed",2016-07-14 18:47:42,2016-07-14 19:43:44,"Thursday","Thursday",14,18,19,56,"18:00","Evening"
"161",5367,"Airport",17,"Trip Completed",2016-07-14 23:35:34,2016-07-15 00:25:26,"Thursday","Friday",14,23,0,50,"23:00","Night"
"162",5471,"Airport",17,"Trip Completed",2016-07-15 04:48:57,2016-07-15 05:47:13,"Friday","Friday",15,4,5,58,"4:00","Early Morning"
"163",5988,"Airport",17,"Trip Completed",2016-07-15 11:48:32,2016-07-15 12:55:02,"Friday","Friday",15,11,12,66,"11:00","Day Time"
"164",6477,"Airport",17,"Trip Completed",2016-07-15 20:21:26,2016-07-15 21:00:31,"Friday","Friday",15,20,21,39,"20:00","Evening"
"165",499,"City",18,"Trip Completed",2016-07-11 09:39:00,2016-07-11 10:16:00,"Monday","Monday",11,9,10,37,"9:00","Morning"
"166",1147,"Airport",18,"Trip Completed",2016-07-11 20:42:00,2016-07-11 21:18:00,"Monday","Monday",11,20,21,36,"20:00","Evening"
"167",1410,"Airport",18,"Trip Completed",2016-07-12 03:14:00,2016-07-12 04:27:00,"Tuesday","Tuesday",12,3,4,73,"3:00","Early Morning"
"168",1804,"Airport",18,"Trip Completed",2016-07-12 09:12:00,2016-07-12 09:57:00,"Tuesday","Tuesday",12,9,9,45,"9:00","Morning"
"169",1949,"Airport",18,"Trip Completed",2016-07-12 11:32:00,2016-07-12 12:13:00,"Tuesday","Tuesday",12,11,12,41,"11:00","Day Time"
"170",2713,"City",18,"Trip Completed",2016-07-13 01:46:42,2016-07-13 02:37:08,"Wednesday","Wednesday",13,1,2,50,"1:00","Early Morning"
"171",2845,"City",18,"Trip Completed",2016-07-13 05:28:29,2016-07-13 06:10:40,"Wednesday","Wednesday",13,5,6,42,"5:00","Morning"
"172",3943,"Airport",18,"Trip Completed",2016-07-13 22:35:38,2016-07-13 23:33:20,"Wednesday","Wednesday",13,22,23,58,"22:00","Night"
"173",4792,"City",18,"Trip Completed",2016-07-14 16:47:15,2016-07-14 17:34:39,"Thursday","Thursday",14,16,17,47,"16:00","Day Time"
"174",5207,"Airport",18,"Trip Completed",2016-07-14 20:57:41,2016-07-14 21:56:21,"Thursday","Thursday",14,20,21,59,"20:00","Evening"
"175",5890,"City",18,"Trip Completed",2016-07-15 09:43:57,2016-07-15 10:55:22,"Friday","Friday",15,9,10,71,"9:00","Morning"
"176",494,"City",19,"Trip Completed",2016-07-11 09:36:00,2016-07-11 10:02:00,"Monday","Monday",11,9,10,26,"9:00","Morning"
"177",1485,"City",19,"Trip Completed",2016-07-12 05:21:00,2016-07-12 06:35:00,"Tuesday","Tuesday",12,5,6,74,"5:00","Morning"
"178",2042,"City",19,"Trip Completed",2016-07-12 14:30:00,2016-07-12 15:09:00,"Tuesday","Tuesday",12,14,15,39,"14:00","Day Time"
"179",2561,"Airport",19,"Trip Completed",2016-07-12 21:29:00,2016-07-12 22:44:00,"Tuesday","Tuesday",12,21,22,75,"21:00","Evening"
"180",3813,"Airport",19,"Trip Completed",2016-07-13 21:06:57,2016-07-13 21:46:24,"Wednesday","Wednesday",13,21,21,39,"21:00","Evening"
"181",4260,"Airport",19,"Trip Completed",2016-07-14 06:11:51,2016-07-14 06:59:46,"Thursday","Thursday",14,6,6,48,"6:00","Morning"
"182",4395,"City",19,"Trip Completed",2016-07-14 08:00:15,2016-07-14 08:54:39,"Thursday","Thursday",14,8,8,54,"8:00","Morning"
"183",5919,"City",19,"Trip Completed",2016-07-15 10:03:42,2016-07-15 10:59:27,"Friday","Friday",15,10,10,56,"10:00","Day Time"
